address, latitude, longitude
"3900 WEST 800 NORTH, Salt Lake City, Utah",40.7866125,-111.920073
"600 N F ST, Salt Lake City, Utah",40.783155,-111.875946
"600 S 4050 W, Salt Lake City, Utah",40.7569194,-111.9901135
"400 S. 3000 W., Salt Lake City, Utah",41.0691328,-112.0839172
"1700 S 200 E, Salt Lake City, Utah",40.733589,-111.896834
"4600 S 2850 W, Salt Lake City, Utah",40.6719218,-111.8520943
"400 N WEST CAPITOL ST, Salt Lake City, Utah",40.778701,-111.890323
"WILEY POST WAY / JIMMY DOOLITTLE RD, Salt Lake City, Utah",0,0
"500 N BONNEVILLE BLVD, Salt Lake City, Utah",40.779648,-111.885479
"800 N 1775 W, Salt Lake City, Utah",40.7864604928432,-111.942229100025
"MARKET ST / MAIN ST, Salt Lake City, Utah",40.7617416,-111.8919534
"100 E 135 / 100 S 100, Salt Lake City, Utah",0,0
"3700 W 510 N, Salt Lake City, Utah",40.7725433,-111.9768438
"1700 N FERNLEAF ST, Salt Lake City, Utah",0,0
"1700 N MORTON DR, Salt Lake City, Utah",40.805784,-111.94407
"2900 E CRESTVIEW DR, Salt Lake City, Utah",40.745526,-111.806824
"000 K ST, Salt Lake City, Utah",40.7784827,-111.8685633
"1300 E POPPERTON PARK WAY, Salt Lake City, Utah",0,0
"00 N K ST, Salt Lake City, Utah",0,0
"600 S UNIVERSITY AVE, Salt Lake City, Utah",0,0
"1700 E / 2100 S, Salt Lake City, Utah",40.725964,-111.939116
"500 E I 80 FWY, Salt Lake City, Utah",0,0
"3800W 1200N, Salt Lake City, Utah",0,0
"300 N TERMINAL DR\, Salt Lake City, Utah",40.7731293962264,-111.985438886792
"2600 W 1500 S, Salt Lake City, Utah",40.7378569928058,-111.951144784173
"700 S 300 W, Salt Lake City, Utah",40.754046,-111.88233
"900 WEST 855 NORTH, Salt Lake City, Utah",0,0
"1300 S UTAHNA DR, Salt Lake City, Utah",0,0
"1400 E EMERSON AVE, Salt Lake City, Utah",0,0
"1900 NORTH 2200 WEST, Salt Lake City, Utah",40.8096857843137,-111.953453490196
"1700 S WINDSOR ST, Salt Lake City, Utah",0,0
"1300 W I80 EASTBOUND FWY, Salt Lake City, Utah",0,0
"500 N 3800 W, Salt Lake City, Utah",40.7457443,-111.9822224
"300 E / 8TH AVE, Salt Lake City, Utah",40.778426,-111.878895
"800 S 1100 E, Salt Lake City, Utah",40.752359721536,-111.922824665397
"300 S NAVAJO ST, Salt Lake City, Utah",0,0
"400 W / BECK ST, Salt Lake City, Utah",40.8076696,-111.9184358
"800 W LUCY AVE, Salt Lake City, Utah",0,0
"900 E CRANDALL AVE, Salt Lake City, Utah",40.707482,-111.86451
"2800 S 9000 W, Salt Lake City, Utah",0,0
"2300 W INDIANA AVE, Salt Lake City, Utah",0,0
"SUNNYSIDE AVE FOOTHILL DR, Salt Lake City, Utah",0,0
"200 W ARDMORE PL, Salt Lake City, Utah",40.777288,-111.896983
"1200 W 700 S, Salt Lake City, Utah",40.754056,-111.856575
"300 W 300 N, Salt Lake City, Utah",40.762696,-111.899778
"800 S 2000 E, Salt Lake City, Utah",40.749745,-111.833529
"600 N SIR PHILIP DR, Salt Lake City, Utah",40.7871593,-111.9477819
"500 E 16TH AVE, Salt Lake City, Utah",40.7874642425658,-111.872705146444
"1000 N 3930 W, Salt Lake City, Utah",40.7910529,-111.9363991
"00 N TERMINAL NORTHBOUND DR, Salt Lake City, Utah",0,0
"80O W NORTH TEMPLE ST, Salt Lake City, Utah",40.77163,-111.8933196875
"700 E 11TH AVE, Salt Lake City, Utah",40.781802,-111.868414
"300 S JEREMY ST, Salt Lake City, Utah",0,0
"1200 W 350 S, Salt Lake City, Utah",40.7771825715067,-111.925312040567
"REDWOOD DR / BELL AVE, Salt Lake City, Utah",0,0
"1300 S PARK ST, Salt Lake City, Utah",40.7149604,-111.8755851
"400 N GRANT ST, Salt Lake City, Utah",40.778156,-111.912433
"100 W NORTH TEMPLE ST, Salt Lake City, Utah",0,0
"WEST TEMPLE / BOULEVARD GARDENS, Salt Lake City, Utah",0,0
"1000 E SOUTH TEMPLE ST, Salt Lake City, Utah",0,0
"CHIPETA WAY / ARAPEEN DR, Salt Lake City, Utah",0,0
"1500 S GRAMMERCY RD, Salt Lake City, Utah",0,0
"TALISMAN CIR / RIVERSIDE DR, Salt Lake City, Utah",0,0
"500 N 3550 W., Salt Lake City, Utah",40.7801745,-111.9344667
"STRATFORD AVE / BEVERLY ST, Salt Lake City, Utah",0,0
"2700 S RICHMOND ST, Salt Lake City, Utah",0,0
"1600 E CONNECTICUT DR, Salt Lake City, Utah",0,0
"200 N CANYON SIDE RD, Salt Lake City, Utah",0,0
"1300 E ZENITH AVE, Salt Lake City, Utah",0,0
"000 E KNIGHTSBRIDGE LN, Salt Lake City, Utah",0,0
"MAIN ST / WOOD AVE, Salt Lake City, Utah",40.7351442,-111.8623726
"300 N 800 W, Salt Lake City, Utah",40.762688,-111.912859
"400 W 800 N, Salt Lake City, Utah",40.786856,-111.902437
"2400 E WILSON AVE, Salt Lake City, Utah",0,0
"000 FEDERAL HEIGHTS DR, Salt Lake City, Utah",40.7753262,-111.8482675
"1600 W NORTH TEMPLE ST, Salt Lake City, Utah",0,0
"7800 S AIRPORT DR, Salt Lake City, Utah",0,0
"1300 E GILMER DR, Salt Lake City, Utah",0,0
"3600 S 500 E, Salt Lake City, Utah",40.692193,-111.87707
"6000 W 300 S, Salt Lake City, Utah",40.7628062,-111.9308895
"400 E VAN NESS PL, Salt Lake City, Utah",40.750559,-111.879468
"1700 E BRYAN AVE, Salt Lake City, Utah",40.734989,-111.842071
"3800 WEST 1500 NORTH, Salt Lake City, Utah",40.800545,-111.91507
"100 N 1810 W, Salt Lake City, Utah",40.770482,-111.9664587
"3900 S 1100 E, Salt Lake City, Utah",40.686931,-111.859917
"2200 WEST 700 NORTH, Salt Lake City, Utah",40.7844428,-111.9125985
"1100 S DONNER WAY, Salt Lake City, Utah",40.745221,-111.805105
"700 S GREEN ST, Salt Lake City, Utah",0,0
"200 S CHIPETA WAY, Salt Lake City, Utah",0,0
